Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO,Phytoplankton
Jan-16,8.3,Nan,Nan,Nan,107.03,26,8.7,5576
Feb-16,8,0.027,0.538,0.067,116.41,27,7.8,3129
Mar-16,8.1,0.169,0.352,0.03,121.62,26,7.6,41716
Apr-16,8.3,0.088,0.128,0.103,81.66,31,8.6,64319
May-16,8.2,0.074,0.019,0.069,53.12,30,6.9,4578
Jun-16,8.9,0.067,0.77,0.12,61.33,32,7.6,26173
Jul-16,8.1,0.073,0.001,0.176,25.37,31,4,4287
Aug-16,8.9,0.07,0.301,0.008,82.7,29,6.5,40474
Sep-16,8.7,0.001,0.069,0.072,66.89,28,8.7,4520
Oct-16,7.6,0.181,0.035,0.089,47.52,28,5.9,24983
Nov-16,Nan,0.155,0.184,0.208,47.87,28,6.8,32644
Dec-16,9,0.001,0.028,0.111,15.32,29,9.6,61731
Jan-17,8.6,0.001,0.379,0.108,35.01,28,8.2,2870
Feb-17,8.4,0.034,0.509,0.131,61.85,27,8.8,36676
Mar-17,8.1,0.023,0.205,0.079,96.59,28,9.1,36036
Apr-17,7.8,0.062,0.09,0.268,95.21,27,6.9,20728
May-17,8.3,0.022,0.013,0.02,28.75,36,7.9,11383
Jun-17,8.3,0.025,0.001,0.151,107.38,32,8.7,12673
Jul-17,7.9,0.056,0.019,0.1,63.59,31.5,7.4,20097
Aug-17,8.7,0.023,0.026,0.107,124.4,30,9.8,3522
Sep-17,8.8,0.001,0.001,0.235,282.43,31,10.4,430002
Oct-17,7.7,0.043,0.217,0.18,67.59,29.5,5.6,17482
Nov-17,7.7,0.036,0.334,0.111,35.18,27,6.2,59853
Dec-17,7.7,0.007,0.046,0.096,52.3,29.3,6.2,1316
Jan-18,8.3,0.006,0.396,0.133,56.55,27.2,8.6,1118
Feb-18,8.7,0.007,0.407,0.174,77.75,28,9.7,306
Mar-18,8.3,0.017,0.242,0.14,64.81,28,8.2,1183
Apr-18,8.6,0.025,0.05,0.149,65.93,28,8.4,1953
May-18,8.4,0.054,0.05,0.142,9.82,32.3,8.3,4264
Jun-18,9.7,0.008,0.177,0.144,44.31,31.5,8.2,3532
Jul-18,8.5,0.001,0.05,0.09,88.18,29.8,7.9,14520
Aug-18,8.5,0.009,0.161,0.142,9.29,27.5,7.6,52857
Sep-18,9,0.003,4.434,0.078,76.45,31,10.6,51587
Oct-18,8.7,0.017,0.05,0.08,33.97,31.3,8.2,10378
Nov-18,8.5,0.011,0.112,0.079,103.47,29.5,6.8,30012
Dec-18,8.7,0.026,0.074,0.097,54.29,27.9,8.7,24624
Jan-19,8.2,0.06,NaN,0.09,86.96,26,8.5,8590
Feb-19,8.8,0.01,0.05,0.07,16.33,27.2,8.3,48197
Mar-19,8.6,0.04,0.05,0.05,38.22,29,8.7,807
Apr-19,8.9,0.015,0.05,0.093,44.3,29,8.2,3103
May-19,8.5,0.52,0.05,0.163,75.67,29,4.5,276
Jun-19,9.4,0.03,0.05,0.189,126.49,33,11.3,68482
Jul-19,8.6,0.057,0.033,0.15,76.97,29.3,7.3,4626
Aug-19,8.4,0.062,0.05,0.188,35.71,28,6.6,14830
Sep-19,8.4,0.04,0.05,0.087,12.25,25,6.5,1240
Oct-19,8.5,0.067,0.05,0.091,3.39,29.9,6.7,243
Nov-19,8.2,0.135,0.05,0.094,38.66,32,6.6,27593
Dec-19,g,0.032,0.17,0.069,6.69,25.5,6.9,2059
Jan-20,8.1,0.043,0.385,0.069,62.38,28,7.9,36087
Feb-20,8.2,0.028,0.05,0.075,79.93,25.4,7.6,28802
Mar-20,8.8,0.04,0.05,0.046,98.34,29,8.2,30762
Apr-20,Nan,Nan,Nan,Nan,Nan,Nan,Nan,NaN
May-20,Nan,Nan,Nan,Nan,Nan,Nan,Nan,NaN
Jun-20,Nan,Nan,Nan,Nan,Nan,Nan,Nan,NaN
Jul-20,Nan,Nan,Nan,Nan,Nan,Nan,Nan,NaN
Aug-20,Nan,Nan,Nan,Nan,Nan,Nan,Nan,NaN
Sep-20,8.2,0.005,0.05,0.043,18.85,32.3,8.3,13300
Oct-20,8.7,0.027,0.05,0.041,68.81,32.4,7.2,46759
Nov-20,8,0.016,Nan,0.054,58.03,24,6.4,23273
Dec-20,8,0.005,Nan,0.048,46.57,24,8.9,24105
Jan-21,8.3,0.022,Nan,0.047,97.91,25,7.9,5577
Feb-21,8.2,0.03,Nan,0.054,71.5,26,8.5,28244
Mar-21,8.1,0.005,Nan,0.066,88.09,24,8.2,123426
Apr-21,Nan,Nan,Nan,Nan,Nan,Nan,Nan,NaN
May-21,8.5,Nan,0.05,0.058,85.75,30,7,98412
Jun-21,9.1,Nan,0.114,0.073,98.69,32,10.3,601902
Jul-21,9.1,0.05,0.05,0.137,105.63,30,7.8,141935
Aug-21,8.7,0.03,0.17,0.09,112.59,28,7.9,15550
Sep-21,8.3,0.11,0.31,0.15,907.24,30,5.4,300309
Oct-21,7.6,0.02,0.14,0.14,97.21,31,6.4,25103
Nov-21,8.3,0.005,0.05,0.16,167.32,30,7.3,93278
Dec-21,8.2,0.005,0.21,0.18,65.5,28,7.5,3475
Jan-22,Nan,Nan,Nan,Nan,Nan,Nan,Nan,NaN
Feb-22,8.3,0.207,0.44,0.1,137.26,26,7.6,422556
Mar-22,8,0.005,0.005,0.16,93.48,26.9,7.2,27939
Apr-22,8.3,0.01,0.02,0.14,77.23,29,7.4,7841
May-22,8.1,0.01,0.01,0.13,99.56,30,6.8,18430
Jun-22,8.9,0.01,0.01,0.17,84.96,32,7.8,50241
Jul-22,8.9,0.08,0.005,0.2,164.54,31,9,43336
Aug-22,8.2,0.38,0.1,0.28,73.76,30,5.4,10153
Sep-22,7.9,0.1,0.12,0.23,82.01,30,7.6,6804
Oct-22,7.9,0.07,0.21,0.14,73.41,29,6.2,34242
Nov-22,7.4,0.005,0.76,0.02,34.66,29,5.7,3253
Dec-22,7.8,0.005,0.58,0.15,41.35,29,7.1,3646
Jan-23,7.8,0.025,0.678,0.176,26.24,23,8.1,1865
Feb-23,7.9,0.03,0.75,0.21,33.05,26,7.5,1413
Mar-23,8,0.005,0.69,0.25,33.27,25,7.6,1309
Apr-23,8,0.005,1,0.26,82.71,26,7.2,2862
May-23,8.6,0.005,0.21,0.24,45.09,30,7.2,12110
Jun-23,8.6,0.05,0.05,0.2,107.12,31,7.7,4377
Jul-23,8.5,0.01,0,0.17,31.8,31,8.7,8634
Aug-23,8.5,0,0.25,0.16,118.58,29,7.9,18662
Sep-23,8.4,0.03,0.2,0.16,111.2,29,6.3,8764
Oct-23,7.8,0.51,0.4,0.5,56.47,30,6,13277
Nov-23,8.2,0.05,0,0.35,36.75,29,7,15536
Dec-23,8.4,Nan,0,0.09,25.72,28,8,7370
Jan-24,8.2,Nan,0,0.08,NaN,NaN,8,NaN
Feb-24,8.9,0.03,0,0.07,NaN,NaN,8,NaN
Mar-24,8.5,0.03,0,0.1,NaN,NaN,8,NaN
Apr-24,8.6,0.05,0,0.11,NaN,NaN,7.1,NaN
May-24,8.7,0.02,0,0.13,NaN,NaN,6.8,NaN
Jun-24,8.8,0.06,0,0.1,NaN,NaN,8,NaN
Jul-24,8.9,0.01,0,0.13,NaN,NaN,7,NaN
Aug-24,8,0.3,0.3,0.88,NaN,NaN,6,NaN
Sep-24,7.5,0.4,0.2,0.11,NaN,NaN,5,NaN
Oct-24,7.5,0.3,0,0.079,NaN,NaN,6,NaN
Nov-24,7.8,0.06,0.3,0.044,NaN,NaN,6,NaN
Dec-24,7.6,0.2,0.5,0.069,NaN,NaN,6,NaN
